Timestamp,gender,grade,ice_cream,exercise,landmark,farm_animal,cuisine,free_time,sport,social_media,grocery_store,languages,birth_season,fav_game,gaming_system,holiday,pets,dining_out_weekly,time_hobbies,daily_snacks,time_social_media,minutes_homework,weighted_gpa,time_morning_routine,num_states,time_sleep
5/14/2026 12:44:21,Male,Freshman,Cookies and Cream,sports,A) Eiffel Tower,Sheep,Mexican,Working out / sports practice,Basketball,Instagram,WinCo,None,Spring,Roblox,PC,Christmas,2,4,4,2,180,120,3.2,70,2,8
5/14/2026 12:49:01,Female,Freshman,Strawberry,other,A) Eiffel Tower,Other,Asian,Watching TV or YouTube,Volleyball,TikTok,Trader Joes,None,Summer,Roblox,Mobile,Christmas,0,1,2,3,60,120,4.1,20,4,7
5/14/2026 12:51:15,Female,Junior,other,swim,J) Other,Horse,Mexican,"Creative hobbies (drawing, music, etc.)",Soccer,Instagram,Trader Joes,None,Autumn,Other,Switch,Christmas,2,1,3,2,120,120,4.4,35,10,8
5/14/2026 13:04:46,Female,Senior,Cookies and Cream,weight lifting,H) Christ the Redeemer,Chicken,Mexican,"Creative hobbies (drawing, music, etc.)",Soccer,Instagram,Sams Club / Walmart,Spanish,Summer,Other,Playstation,Other,0,2,0,1,360,200,4.3,50,2,6
5/14/2026 13:30:28,Female,Freshman,Chocolate,sports,A) Eiffel Tower,Horse,Mexican,"Creative hobbies (drawing, music, etc.)",Volleyball,Instagram,Trader Joes,None,Winter,None,Switch,Christmas,2,1,4,1,50,130,4.1,20,7,7
5/14/2026 13:37:02,Male,Sophomore,Mint Chip,other,G) Stonehenge,Other,Asian,Playing video games,Soccer,Youtube,Sams Club / Walmart,Spanish,Autumn,Other,Playstation,Halloween,6,0,4,3,30,15,4.4,60,14,6.5
5/14/2026 13:39:14,Female,Senior,Mint Chip,weight lifting,F) Machu Picchu,Sheep,Mexican,Sleeping / resting,Soccer,TikTok,Other,Spanish,Spring,Roblox,Mobile,Halloween,0,1,3,5,4,2,4.2,30,7,6
5/14/2026 13:40:59,Female,Senior,Mint Chip,other,D) Great Wall of China,Horse,Asian,"Creative hobbies (drawing, music, etc.)",Tennis,Instagram,Stater Bros.,Other,Winter,Minecraft,Switch,Christmas,1,1,3,2,180,70,4.5,30,8,8
5/14/2026 13:42:33,Female,Junior,Chocolate,swim,A) Eiffel Tower,Cow,Asian,"Creative hobbies (drawing, music, etc.)",Tennis,Instagram,Other,"Spanish, Italian",Summer,Tomodachi Life,Mobile,Christmas,1,0,1,1,6,150,4.2,30,8,8
5/14/2026 13:46:37,Male,Sophomore,Chocolate,weight lifting,J) Other,Chicken,Mexican,Playing video games,Soccer,Youtube,Other,None,Summer,Other,Xbox,Christmas,2,1,0,1,64,184,4,40,3,8
5/14/2026 13:47:39,Male,Sophomore,Vanilla,weight lifting,B) Pyramids of Giza,Other,European,Watching TV or YouTube,Football,Youtube,Sprouts,None,Winter,Roblox,Mobile,Christmas,5,4,5,3,0,40,4.3,35,26,6
5/14/2026 13:49:32,Male,Sophomore,Strawberry,other,A) Eiffel Tower,Horse,American,Playing video games,Volleyball,Instagram,Stater Bros.,None,Summer,Minecraft,PC,Christmas,1,2,5,4,1,0,3.5,60,7,9
5/14/2026 13:51:31,Male,Sophomore,Mint Chip,other,D) Great Wall of China,Horse,Asian,Playing video games,Basketball,Instagram,Costco,None,Winter,Other,PC,Thanksgiving,4,2,9,9,120,45,3.3,1,10,6
5/14/2026 13:56:37,Male,Sophomore,cookie dough,sports,J) Other,Horse,Indian,Watching TV or YouTube,Soccer,TikTok,Costco,Other,Spring,Roblox,Mobile,Christmas,1,0,3,2,300,60,4,25,2,5
5/14/2026 14:01:07,Male,Sophomore,Vanilla,sports,J) Other,Horse,European,Working out / sports practice,Basketball,TikTok,Sprouts,None,Autumn,Other,Mobile,Christmas,1,1,90,3,60,15,4.25,60,15,8
5/14/2026 14:05:49,Male,Freshman,cookie dough,sports,A) Eiffel Tower,Horse,Mexican,Playing video games,Basketball,Instagram,WinCo,None,Summer,Other,PC,Christmas,1,2,3,2,120,180,3.8,30,3,7
5/14/2026 14:06:11,Male,Junior,Cookies and Cream,sports,F) Machu Picchu,Other,Mexican,Playing video games,Baseball,Youtube,Stater Bros.,Spanish,Winter,Other,Playstation,Other,3,2,2,3,0,0,3.4,38,4,5
5/14/2026 14:07:17,Female,Sophomore,Chocolate,other,A) Eiffel Tower,Pig,Asian,Playing video games,Basketball,Youtube,Costco,French,Winter,Roblox,Mobile,Christmas,3,1,3,4,120,240,3.8,30,8,5
5/14/2026 14:09:01,Male,Sophomore,Cookies and Cream,sports,A) Eiffel Tower,Goat,Mexican,Hanging out with friends,Soccer,Instagram,Sams Club / Walmart,Spanish,Autumn,Roblox,Playstation,Christmas,0,2,2,4,150,30,4.1,45,12,7
5/14/2026 14:09:18,Female,Sophomore,Strawberry,other,A) Eiffel Tower,Horse,Mexican,Working out / sports practice,Soccer,TikTok,WinCo,Spanish,Summer,Other,Playstation,Christmas,3,1,2,2,120,60,3.1,70,0,5
5/14/2026 14:10:29,Male,Sophomore,cookie dough,sports,B) Pyramids of Giza,Horse,Other,Working out / sports practice,Soccer,Instagram,Costco,Arabic,Spring,Other,PC,Christmas,2,2,4,2,4,50,4.2,40,4,8
5/14/2026 14:17:38,Female,Junior,Mint Chip,sports,H) Christ the Redeemer,Horse,Mexican,"Creative hobbies (drawing, music, etc.)",Volleyball,Instagram,Sams Club / Walmart,None,Summer,Minecraft,Playstation,Christmas,2,1,3,2,120,60,4.4,60,0,8
5/14/2026 14:18:00,Female,Junior,cookie dough,other,H) Christ the Redeemer,Sheep,Mexican,Sleeping / resting,Tennis,TikTok,Sprouts,Spanish,Autumn,Other,Xbox,Halloween,4,1,2,2,120,30,4,45,3,8
5/14/2026 14:19:47,Male,Freshman,Cookies and Cream,sports,H) Christ the Redeemer,Sheep,Mexican,Hanging out with friends,Tennis,Youtube,Trader Joes,Spanish,Autumn,None,PC,Christmas,7,0.5,2,2,180,90,3.4,25,2,5
5/14/2026 14:21:12,Female,Freshman,Mint Chip,sports,H) Christ the Redeemer,All of the above,Mexican,Working out / sports practice,Soccer,TikTok,Costco,Spanish,Winter,Roblox,Xbox,Christmas,1,3,2.5,2,240,300,3.4,30,3,7
5/14/2026 14:21:50,Female,Freshman,Vanilla,other,J) Other,Chicken,Asian,Watching TV or YouTube,Tennis,Instagram,Other,Other,Winter,None,Xbox,Other,0,0,0,1,30,3,4,30,1,8
5/14/2026 14:22:03,Male,Freshman,Cookies and Cream,sports,A) Eiffel Tower,All of the above,Mexican,Hanging out with friends,Basketball,Instagram,Stater Bros.,None,Spring,Other,PC,Christmas,1,2,2,1,60,30,3.4,15,7,6
5/14/2026 14:24:57,Male,Junior,cookie dough,weight lifting,A) Eiffel Tower,Chicken,Mexican,Playing video games,Basketball,Instagram,WinCo,None,Summer,Other,PC,Christmas,2,1,3,1,120,10,2.9,8,2,7
5/14/2026 14:39:08,Male,Senior,Vanilla,swim,E) Grand Canyon,Chicken,Other,Playing video games,Baseball,Youtube,Other,Arabic,Spring,Other,PC,Thanksgiving,0,1,2,3,120,120,4,20,2,7
